qwen_macro,publication_year,n,n_broad,n_specialized,journals,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,display_label,p_value,q_value_bh
10,2015,11891,5371,6520,2618,estimated,-0.0238144450508755,0.1160993169584146,-0.2513691062893682,0.2037402161876172,-0.2661725200741772,0.213031295680571,1.7750919255934308,1.7333184764474443,Social behavior & violence,0.8374773402622651,0.9505531091190016
10,2016,12068,5167,6901,2789,estimated,-0.1926969589896497,0.0966675169620742,-0.3821652922353151,-0.0032286257439843,-0.357022153769023,0.0092685709929566,2.068576404740105,1.706020873799652,Social behavior & violence,0.0462177423502059,0.2804842666179827
10,2017,13152,5442,7710,3004,estimated,-0.1130474945864988,0.0997797615779936,-0.3086158272793664,0.0825208381063686,-0.3063680529014732,0.0971420489718632,1.9186982495906169,1.7136052192812397,Social behavior & violence,0.2572267755951135,0.6634361074639235
10,2018,14067,5884,8183,3120,estimated,-0.0461709771091094,0.0750950044830664,-0.1933571858959197,0.1010152316777008,-0.1939842512785492,0.0902449051319233,1.900158745448612,1.8144210857329897,Social behavior & violence,0.5386642200408717,0.8597150854953639
10,2019,15452,6163,9289,3389,estimated,-0.0586855403212127,0.0735310957181406,-0.2028064879287685,0.0854354072863429,-0.2084302228455124,0.0801578233690494,2.122541859980457,2.001563891409404,Social behavior & violence,0.4248095193235617,0.7740973463229346
10,2020,17033,7159,9874,3652,estimated,-0.0702014566331893,0.0969353012828725,-0.2601946471476194,0.1197917338812407,-0.2727382949219923,0.1106241105945719,2.112805455453441,1.9695699264321904,Social behavior & violence,0.468937186919478,0.8151302729594669
11,2015,19738,8353,11385,2413,estimated,-0.1173831400699833,0.1218598229401694,-0.3562283930327155,0.1214621128927488,-0.3551055991798695,0.1263618384354735,1.205632508458032,1.0721019839911907,Mental health & cognition,0.3354152209955359,0.7237907400429985
11,2016,18899,8098,10801,2537,estimated,-0.0853657617108935,0.0958611069314946,-0.2732535312966231,0.102522007874836,-0.278179229099164,0.0911778452456554,1.322764317103268,1.2145309644528934,Mental health & cognition,0.3731893725347074,0.7313199946924638
11,2017,19334,7891,11443,2670,estimated,-0.142401973756769,0.0955712145786678,-0.3297215543309579,0.0449176068174199,-0.3136602860743278,0.052379281574418,1.401901414938916,1.2158306368481104,Mental health & cognition,0.1362218588055347,0.4380467616491706
11,2018,19818,8184,11634,2786,estimated,-0.0696654785079173,0.0741549825213536,-0.2150092442497704,0.0756782872339356,-0.2211235675740404,0.0686003712182579,1.3946145094484916,1.3007650108405169,Mental health & cognition,0.3474957367758657,0.7238516610665888
11,2019,22893,8489,14404,2970,estimated,0.0124646093978284,0.0740453482209546,-0.1326642731152426,0.1575934919108995,-0.1283434640969367,0.1649007778153974,1.3701284995122391,1.38731349571897,Mental health & cognition,0.866317767761996,0.9537169056447417
11,2020,23136,9578,13558,3101,estimated,-0.1011079729535324,0.1203793430621362,-0.3370514853553195,0.1348355394482545,-0.3535585044140455,0.141164395450098,1.7721913486751626,1.6017693435579512,Mental health & cognition,0.4009581100510302,0.7558290810157351
12,2015,20995,10746,10249,3275,estimated,0.5519209695683492,0.4854908933340213,-0.3996411813663325,1.503483120503031,-0.393952193694386,1.4768240338730951,1.706735085374142,2.963891818347502,Computing & networks,0.2556090517762435,0.6634361074639235
12,2016,22260,11186,11074,3423,estimated,-0.0969906140495976,0.2267321632426349,-0.5413856540051621,0.3474044259059669,-0.5665444746676853,0.3160904375916265,1.684007446292447,1.528345417162828,Computing & networks,0.6688140955560283,0.8787510726745839
12,2017,23884,12607,11277,3657,estimated,0.0127096408153822,0.173804554039082,-0.3279472851012184,0.353366566731983,-0.3083113453425355,0.3456222934356343,1.5306006767196072,1.55017820972144,Computing & networks,0.9417058108427774,0.9836926941287611
12,2018,26953,14796,12157,3783,estimated,0.0462457118255932,0.1227400202095098,-0.194324727785046,0.2868161514362325,-0.172421096203289,0.3172652235672665,1.3322936011222155,1.3953533503175026,Computing & networks,0.7063387579379524,0.9024482194541044
12,2019,27268,14086,13182,4209,estimated,0.0702033866717271,0.1352701019445976,-0.1949260131396842,0.3353327864831384,-0.1904612902953985,0.3544646150383803,1.438868345091236,1.5435119696979531,Computing & networks,0.6037700012831617,0.8597150854953639
12,2020,29584,15957,13627,4675,estimated,0.0326862370394422,0.0983967513851851,-0.1601713956755205,0.225543869754405,-0.1394569331000381,0.2585957344042908,1.7107683116889507,1.7676108132439112,Computing & networks,0.739747174015142,0.919079822261237
13,2015,7373,3118,4255,972,not_estimable,,,,,,,,,Marine ecology & paleoscience,,
13,2016,7533,3142,4391,978,not_estimable,,,,,,,,,Marine ecology & paleoscience,,
13,2017,7202,2967,4235,1061,not_estimable,,,,,,,,,Marine ecology & paleoscience,,
13,2018,8110,3808,4302,1081,not_estimable,,,,,,,,,Marine ecology & paleoscience,,
13,2019,6922,2605,4317,1145,not_estimable,,,,,,,,,Marine ecology & paleoscience,,
13,2020,7980,3530,4450,1172,not_estimable,,,,,,,,,Marine ecology & paleoscience,,
14,2015,17474,4539,12935,1680,not_estimable,,,,,,,,,Immune & inflammatory disease,,
14,2016,16641,4704,11937,1772,not_estimable,,,,,,,,,Immune & inflammatory disease,,
14,2017,18066,4510,13556,1841,not_estimable,,,,,,,,,Immune & inflammatory disease,,
14,2018,17284,4301,12983,1923,not_estimable,,,,,,,,,Immune & inflammatory disease,,
14,2019,20913,4991,15922,1950,not_estimable,,,,,,,,,Immune & inflammatory disease,,
