analysis,outcome,scale,mean_broad,mean_specialized,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,n,journals,support,origin,window_definition
aipw,far_given_any_far,log_mean_ratio,6.280582047554873,5.537694385692442,-0.12588442065080538,0.0541995371364967,-0.23211551343833892,-0.01965332786327184,-0.23289822677178285,-0.01557752028330377,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,intensity_vs_probability,log_ratio_contrast,,,-0.11604529678380808,0.054535702095308586,-0.2229352728906129,-0.009155320677003254,-0.22522369958811228,-0.007828622890737533,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,decomp_total,log_mean_ratio,2.876300766022177,2.511252085894811,-0.1357235445178029,0.05548853852417016,-0.24448108002517643,-0.026966009010429393,-0.24858201948692119,-0.02088667782814284,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,decomp_entry,log_mean_ratio,0.457967230464232,0.4534833291600681,-0.009839123866997312,0.009432419068182053,-0.028326665240634135,0.00864841750663951,-0.03034298192559996,0.007441221368268727,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,decomp_intensity,log_mean_ratio,6.280582047554873,5.537694385692442,-0.12588442065080538,0.0541995371364967,-0.23211551343833892,-0.01965332786327184,-0.23289822677178285,-0.01557752028330377,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,decomp_contrast,log_ratio_contrast,,,-0.11604529678380808,0.054535702095308586,-0.2229352728906129,-0.009155320677003254,-0.22522369958811228,-0.007828622890737533,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
outcome_model_only,far_all32,absolute,2.576785016299534,2.3561627877990348,-0.22062222850049906,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/fivefold_outcome_only.csv,
outcome_model_only,far_all32,log_mean_ratio,2.576785016299534,2.3561627877990348,-0.08950814577639887,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/fivefold_outcome_only.csv,
outcome_model_only,any_far_all32,absolute,0.4610713390275123,0.4591858855145028,-0.0018854535130095051,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/fivefold_outcome_only.csv,
outcome_model_only,any_far_all32,log_mean_ratio,0.4610713390275123,0.4591858855145028,-0.004097672044149979,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/fivefold_outcome_only.csv,
